	Joy	Sadness	Neutral	Disgust	Anger	Surprise	Fear
1st	0.301024750284	-0.81149916525	-0.16319001853	-0.374232911914	-0.210508719621	0.430465240918	1.42686340147
1st day	-0.675977490644	-0.00520606638491	-0.035171537256	-1.21158148473	-0.873439425136	-0.949732072248	2.1417926179
1st time	-0.55550170699	0.851590943591	-0.503068338926	0.465857159156	-0.931747785756	1.80387039701	0.0748414448427
20	0.151067348805	-0.33637063611	0.944117738559	-0.0822429875632	0.455762253826	-0.265105361825	-0.38874698582
20 mins	0.0204383108211	-0.363909436205	-0.127915290369	0.682321225946	0.201810246887	-0.0558668378353	-0.852750055037
20 minutes	0.149371009831	-0.217134176311	-0.458898956276	-0.975122980725	0.890446428809	-0.32604782135	-0.501252249201
20 years	-0.109329100854	0.457226135591	0.0462692435436	-0.218746836431	-0.0859985895149	0.187812997594	0.486827400105
200	0.242180330965	-0.0953335761039	1.06520489605	-0.397153715915	0.171841280145	0.126679569897	-0.876759289752
2003	-0.158580151621	-0.0715124460109	1.05071108645	-0.739178885727	0.198480854241	-0.442323215161	-0.57272869565
2004	-0.574566628782	0.411070730898	1.35136415632	-0.477985858317	-1.58080612472	-0.0432539935978	-0.191104955295
2005	-0.661163235848	-0.0229298541073	1.60700118233	-0.570461247285	-1.03780574456	0.406589209233	-0.496900965478
2006	-0.432517450852	-0.685295743889	1.44369340848	-0.0326289257472	-1.09762260447	-0.821312060395	0.481887032856
2007	-1.19679386599	0.330348144104	0.844436352114	-0.741427315389	-1.57739080068	-1.1100553694	1.79515896793
2008	-0.985496715383	0.487826452272	1.73560870338	-0.869168230776	-1.98720090049	0.106601716094	0.0911178433986
2009	-0.56681738134	0.7081641195	2.03686890784	-1.0702146728	-1.35396206744	-0.88837446196	-0.369102768784
2010	-2.39764739405	-0.465771837787	3.67746053872	-0.582151954567	-2.79027413352	-0.0489987424274	-1.63854875441
2011	-3.33693251935	-1.97673677364	6.08631257062	-2.08343751252	-3.16904083581	-2.71473430603	-3.36216794813
2011 url	-1.93566038541	-1.48302408022	1.43559855038	-0.451896864294	-0.64218774275	-0.198662912416	-0.505715764183
2012	-4.27810083576	-2.26842878819	6.93317001331	-3.33241831502	-3.85540907713	-3.26289541829	-3.10362376042
2012 url	-1.14299274762	-0.734903090039	1.29228759947	-0.966626142093	-0.436408686489	-1.01793780496	-0.597049438804
2013	-3.72251531076	-1.66359875784	5.9533513162	-2.59374975427	-2.36597049106	-2.65706902731	-3.81928632824
2013 url	0.213008212512	-1.65168421393	-0.17362684337	-0.115317851526	1.15286802718	-0.00226056518913	-0.097543215863
2014	-1.84731592475	-0.597851318144	3.43377000331	-1.03159322442	-0.612660050133	-0.766336900341	-1.87029396897
2014 url	0.799417361745	-0.556904309493	-0.431362792172	-0.817611785954	1.01750912515	0.553458747488	0.137465269519
2015	1.7623961125	0.701465729646	-3.40694596094	-0.0528553007592	-0.115015221828	0.502852094531	0.405876497358
2015 url	1.52816502814	-0.325702903878	-0.573413529782	-0.477305398902	0.918215873952	0.317995035165	0.73361452122
2016	1.73666198495	0.6721487375	-1.72951310976	-0.430425867215	-0.263594601055	0.0790706148921	0.136171815934
20th	-0.0613698316402	0.50923491526	0.32241766982	-0.0699121268049	0.0395800173166	-0.517175269245	0.221247005731
21	-0.371923104153	0.168037284246	1.96191517016	-0.72886493639	-0.445507513837	-0.812423376108	0.415318503476
21st	-0.734564602021	-0.0432161919992	0.314290385084	-0.355185686719	0.663555166096	0.346517469067	0.849591986147
22	0.0611700307755	-0.240988048175	1.36687765533	-0.209999125056	-0.225939271368	-0.206116199118	-0.0832630462256
23	0.468258385287	0.0147860464072	1.03692010175	-0.421951042162	-0.603708086595	-0.329658487872	0.196422064895
24	0.281463323407	-0.194104329629	1.2989558992	-0.665451083875	0.102707653777	-0.728790118149	-0.0536006757811
24 hours	0.0748783629659	0.0342069942583	0.102198009057	0.600388835573	-0.856834847033	1.02786552466	1.1116385475
25	0.165104174566	-0.224788267722	1.38803987516	-0.641842803963	0.0148346466483	0.315090941506	-0.754691905058
250	-0.255402193283	-0.118642861192	1.03621632625	0.607456908292	-0.319287095524	0.895932757932	-1.40478805616
26	-0.240422660641	-0.225023614719	1.23034582357	-0.235584854123	-0.233674664709	-0.338631758082	0.0556379042016
27	0.7257259021	0.364515945409	0.405358700609	-0.580917953502	-0.589024459134	-0.00943143349812	-0.0267254624339
28	0.0796311896634	-0.272806443906	1.38881731532	-0.227327680645	-0.330208387532	0.173420713562	-0.197830908547
29	-0.348452281258	-0.757768488459	1.69869911618	0.072254050095	-0.239322457733	-0.160579506343	-0.0972050901651
2am	0.64675622991	-0.202282364757	-1.05943373711	-0.0741163122809	0.291297448033	-0.187086956245	0.686076267474
2day	0.802318019268	0.91351485995	0.114097141542	-0.991800275603	-0.824268334848	0.0324633775937	-0.0033864746529
2k	0.347041668102	-0.281770383276	-0.268633520639	-0.0704878705762	0.669069467599	-0.310479931472	0.630886078733
2nd	0.241875211607	-0.232339519302	-0.171141041899	-0.0180741143258	0.887820281014	-0.476310978728	0.0635019731386
2nd time	0.056549017351	-0.585342958451	-1.98083080906	-0.345896400196	2.47518172068	-0.719287674957	-0.94463401346
2pm	0.440319665023	-0.756410245775	-0.612668409379	0.35330757455	0.208553286757	0.413358878547	0.290412444298
30	0.0203380584883	-0.412952406478	1.8280324318	-0.0408482342812	0.00602580180622	-0.397238414945	-0.476611426761
30 am	-0.202949559246	0.449250673383	-0.702052163537	0.696229682565	-0.47979162682	0.503137455285	0.895829742568
30 and	0.474737720441	0.183869092988	-0.473171613757	0.230607001298	0.270663267302	-0.376578524489	-0.123364047343
30 min	0.378847409325	-0.813903285006	-1.9156551516	-0.323970974763	1.40900434615	-0.785266711328	-0.0425297992832
30 mins	-0.0268840706972	0.732365852003	-0.704119006414	-1.34332025026	0.545526718308	0.519256647337	0.251083561269
30 minutes	-0.0913184714416	-0.810866341384	0.747443189473	-0.966102401145	0.785479060003	-0.179345630882	0.147207648002
30 seconds	0.0348348620887	0.0466653081034	-0.335657992878	0.75959122267	-0.495302824819	0.315449991405	0.382147398739
30 years	-0.137440537015	1.08765575694	0.59750528931	-0.382537602841	-0.689012817623	0.356521171723	0.0349911155317
300	0.107863891977	-0.353397417564	1.69894121583	-0.0811846476721	-0.153774217371	0.212990218656	-0.890104897927
30am	0.090252777539	0.331508540654	-0.641463360662	0.0241129309222	0.0490774996874	0.618547573218	0.428308502566
30pm	-0.0121248012983	-0.315232227276	0.566206735422	-0.0655955179676	0.252700685827	-0.357194781768	0.175274735859
30th	-0.698738549035	-0.166042311388	-0.133647639652	-0.0688630760105	0.240028607034	1.02573047827	0.856986690416
31	0.0161227536709	-0.722258039053	1.29315689319	0.112577406835	-0.792222849788	0.437952766927	0.210054254272
32	0.485408007127	-0.0720696055907	1.18466480694	-0.296918387224	-0.800935145803	0.606573803666	-0.385618206809
33	0.216067860092	-0.273995696678	1.6261779145	-1.30619841796	-0.479160347614	-0.580935460094	0.849350418051
